시장,종목명,티커,신호일,종가,RSI,거래량배수,20일후종가,20일수익률%,60일후종가,60일수익률%,신호후최저가,최대낙폭%,-8%손절터치,전방봉수
KOSPI200,현대위아,011210,2020-01-16,50600.0,57.0,2.14,45450.0,-10.18,32950.0,-34.88,19850.0,-60.77,터치,60
KOSPI200,HL만도,204320,2020-01-16,35300.0,56.63,2.49,36250.0,2.69,24350.0,-31.02,16200.0,-54.11,터치,60
NASDAQ100,O'Reilly Automotive,ORLY,2020-01-16,29.4,55.22,1.72,26.06,-11.38,23.76,-19.21,16.77,-42.98,터치,60
KOSPI200,기아,000270,2020-01-23,43400.0,58.96,1.86,38600.0,-11.06,28850.0,-33.53,21500.0,-50.46,터치,60
NASDAQ100,Walmart,WMT,2020-03-18,40.86,56.89,2.1,44.11,7.95,39.25,-3.95,35.62,-12.83,터치,60
KOSPI200,삼성바이오로직스,207940,2020-03-31,701077.0,55.08,1.97,845075.0,20.54,1140342.0,62.66,653079.0,-6.85,미터치,60
KOSPI200,삼양식품,003230,2020-04-01,94000.0,59.19,2.2,106500.0,13.3,126000.0,34.04,92900.0,-1.17,미터치,60
KOSPI200,NC,036570,2020-05-08,679000.0,58.05,1.67,805000.0,18.56,811000.0,19.44,685000.0,0.88,미터치,60
KOSPI200,코스맥스,192820,2020-06-26,92632.0,58.07,1.55,88711.0,-4.23,107336.0,15.87,87535.0,-5.5,미터치,60
KOSPI200,LG생활건강,051900,2020-06-30,1346000.0,51.75,1.73,1350000.0,0.3,1455000.0,8.1,1288000.0,-4.31,미터치,60
KOSPI200,삼성물산,028260,2020-08-10,109500.0,52.13,1.81,111000.0,1.37,115000.0,5.02,101500.0,-7.31,미터치,60
KOSPI200,삼성물산,028260,2020-08-11,110500.0,53.95,1.78,108000.0,-2.26,116500.0,5.43,101500.0,-8.14,터치,60
NASDAQ100,Microchip Technology,MCHP,2020-08-18,53.67,59.07,2.23,51.78,-3.52,63.12,17.61,47.76,-11.01,터치,60
NASDAQ100,Marvell Technology,MRVL,2020-08-27,35.91,56.22,1.73,38.05,5.96,43.96,22.42,35.3,-1.7,미터치,60
KOSPI200,한화엔진,082740,2020-09-01,3985.0,59.38,1.87,3840.0,-3.64,5342.0,34.05,3513.0,-11.84,터치,60
NASDAQ100,PepsiCo,PEP,2020-09-28,137.97,57.16,1.55,138.06,0.07,144.02,4.39,131.71,-4.54,미터치,60
KOSPI200,SK케미칼,285130,2020-10-08,232853.0,55.39,1.62,272885.0,17.19,256872.0,10.32,199826.0,-14.18,터치,60
KOSPI200,유한양행,000100,2020-11-03,52820.0,52.69,1.68,54079.0,2.38,57565.0,8.98,52651.0,-0.32,미터치,60
