시장,종목명,티커,신호개수,상태,봉수,정지봉제거,비고
NASDAQ100,Adobe Inc.,ADBE,0,OK,1924,0,cache
NASDAQ100,Advanced Micro Devices,AMD,1,OK,1924,0,cache
NASDAQ100,Airbnb,ABNB,0,OK,1434,0,cache
NASDAQ100,Alnylam Pharmaceuticals,ALNY,0,OK,1924,0,cache
NASDAQ100,Alphabet Inc.(Class A),GOOGL,1,OK,1924,0,cache
NASDAQ100,Alphabet Inc.(Class C),GOOG,1,OK,1924,0,cache
NASDAQ100,Amazon,AMZN,1,OK,1924,0,cache
NASDAQ100,American Electric Power,AEP,0,OK,1924,0,cache
NASDAQ100,Amgen,AMGN,0,OK,1924,0,cache
NASDAQ100,Analog Devices,ADI,1,OK,1924,0,cache
NASDAQ100,Apple Inc.,AAPL,1,OK,1924,0,cache
NASDAQ100,Applied Materials,AMAT,0,OK,1924,0,cache
NASDAQ100,AppLovin,APP,2,OK,1349,0,cache
NASDAQ100,Arm Holdings,ARM,1,OK,741,0,cache
NASDAQ100,ASML Holding,ASML,0,OK,1924,0,cache
NASDAQ100,Astera Labs,ALAB,0,OK,612,0,cache
NASDAQ100,Autodesk,ADSK,1,OK,1924,0,cache
NASDAQ100,Automatic Data Processing,ADP,0,OK,1924,0,cache
NASDAQ100,Axon Enterprise,AXON,0,OK,1924,0,cache
NASDAQ100,Baker Hughes,BKR,0,OK,1924,0,cache
NASDAQ100,Booking Holdings,BKNG,0,OK,1924,0,cache
NASDAQ100,Broadcom,AVGO,2,OK,1924,0,cache
NASDAQ100,Cadence Design Systems,CDNS,0,OK,1924,0,cache
NASDAQ100,Cintas,CTAS,1,OK,1924,0,cache
NASDAQ100,Cisco,CSCO,0,OK,1924,0,cache
NASDAQ100,Coca-Cola Europacific Partners,CCEP,2,OK,1924,0,cache
NASDAQ100,Comcast,CMCSA,0,OK,1924,0,cache
NASDAQ100,Constellation Energy,CEG,0,OK,1156,0,cache
NASDAQ100,Copart,CPRT,1,OK,1924,0,cache
NASDAQ100,CoreWeave,CRWV,0,OK,356,0,cache
NASDAQ100,Costco,COST,0,OK,1924,0,cache
NASDAQ100,CrowdStrike,CRWD,1,OK,1813,0,cache
NASDAQ100,CSX Corporation,CSX,0,OK,1924,0,cache
NASDAQ100,Datadog,DDOG,0,OK,1744,0,cache
NASDAQ100,DexCom,DXCM,0,OK,1924,0,cache
NASDAQ100,Diamondback Energy,FANG,1,OK,1924,0,cache
NASDAQ100,DoorDash,DASH,0,OK,1435,0,cache
NASDAQ100,Exelon,EXC,1,OK,1924,0,cache
NASDAQ100,Fastenal,FAST,1,OK,1924,0,cache
NASDAQ100,Ferrovial,FER,2,OK,1924,0,cache
NASDAQ100,Fortinet,FTNT,2,OK,1924,0,cache
NASDAQ100,GE HealthCare,GEHC,0,OK,927,0,cache
NASDAQ100,Gilead Sciences,GILD,1,OK,1924,0,cache
NASDAQ100,Honeywell Aerospace,HONA,판정불가,데이터 부족,52,0,52봉(220봉 워밍업 미달)
NASDAQ100,Honeywell Technologies,HON,0,OK,1924,0,cache
NASDAQ100,Idexx Laboratories,IDXX,0,OK,1924,0,cache
NASDAQ100,Intel,INTC,0,OK,1924,0,cache
NASDAQ100,Intuit,INTU,0,OK,1924,0,cache
